rating_id,order_id,restaurant_rating,delivery_rating,feedback
R_83,11364,3,5,Average
R_84,10602,5,5,Average
R_85,11563,2,3,Average
R_86,11113,2,3,Average
R_87,10905,1,4,Late delivery
R_88,10041,2,2,Average
R_89,11328,2,5,Excellent
R_90,11292,3,2,Excellent
R_91,11162,1,1,Average
R_92,11030,1,3,Good
R_93,10242,2,4,Late delivery
R_94,10162,3,1,Excellent
R_95,11019,4,2,Late delivery
R_96,10692,5,3,Late delivery
R_97,10809,1,5,Good
R_98,10979,3,1,Late delivery
R_99,10518,3,3,Average
R_100,10898,2,2,No Feedback
R_101,10783,5,2,Late delivery
R_102,11425,1,1,Good
R_103,10784,4,1,Average
R_104,11180,2,1,Excellent
R_105,10085,1,4,Average
R_106,11736,1,5,Average
R_107,11034,3,3,Late delivery
R_108,10138,5,2,Excellent
R_109,10754,4,2,Good
R_110,10906,5,5,Late delivery
R_111,10713,3,1,No Feedback
R_112,10156,4,1,No Feedback
R_113,10408,4,2,Late delivery
R_114,10787,2,5,No Feedback
R_115,11249,4,2,Late delivery
R_116,10580,1,1,Average
R_117,11208,5,3,Late delivery
R_118,11219,5,1,Good
R_119,10554,2,3,Average
R_120,10396,4,4,Average
R_121,11938,3,5,Excellent
R_122,11687,1,4,Excellent
R_123,11620,2,1,Late delivery
R_124,11158,4,5,Average
R_125,11333,3,1,Good
R_126,11890,4,5,Average
R_127,10810,2,5,Late delivery
R_128,10962,3,1,Good
R_129,10542,3,1,Average
R_130,11033,3,5,Average
R_131,10987,3,5,Excellent
R_132,10170,4,1,Excellent
R_133,10290,3,1,Late delivery
R_134,11192,4,2,Average
R_135,11368,3,2,Average
R_136,11521,3,2,Good
R_137,11169,2,4,Good
R_138,11437,4,5,Good
R_139,10740,4,3,Good
R_140,11842,5,4,Good
R_141,10588,2,5,Good
R_142,10735,4,3,Good
R_143,11713,2,2,Late delivery
R_144,10457,2,3,No Feedback
R_145,10701,2,1,Excellent
R_146,10979,1,1,Good
R_147,11326,4,5,Average
R_148,10046,2,4,Excellent
R_149,11918,1,2,Good
R_150,11041,1,5,Excellent
R_151,11602,3,2,Late delivery
R_152,11384,3,1,No Feedback
R_153,11285,4,4,Excellent
R_154,11147,3,4,Late delivery
R_155,10231,4,1,Late delivery
R_156,10950,1,3,Good
R_157,10637,1,4,Good
R_158,10112,4,3,Average
R_159,11808,3,2,Good
R_160,10593,3,4,Good
R_161,11270,4,1,Average
R_162,10859,5,3,Excellent
R_163,10391,3,2,Good
R_164,10392,2,2,Good
R_165,10328,3,4,Average
R_166,11239,5,4,Average
R_167,11888,1,5,Good
R_168,10747,1,5,No Feedback
R_169,10367,1,4,Late delivery
R_170,10082,3,5,Average
R_171,10806,1,1,Good
R_172,10822,5,1,Average
R_173,11100,5,5,Excellent
R_174,11551,3,4,Good
R_175,11756,2,1,Average
R_176,11527,3,2,Good
R_177,11766,1,4,No Feedback
R_178,11970,3,3,Good
R_179,10952,5,3,Excellent
R_180,11503,3,4,Average
R_181,10372,3,5,Late delivery
R_182,11289,2,1,Late delivery
R_183,10264,5,1,Good
R_184,10110,4,4,Average
R_185,11939,4,2,Average
R_186,10307,5,5,Good
R_187,11224,4,2,Excellent
R_188,10226,1,4,Good
R_189,10185,4,4,Late delivery
R_190,10964,1,2,Average
R_191,10031,5,3,Good
R_192,10614,4,4,Late delivery
R_193,11795,4,5,Late delivery
R_194,10099,1,2,Average
R_195,11363,1,3,Average
R_196,10811,3,2,Good
R_197,11821,2,3,Excellent
R_198,11290,4,3,Average
R_199,10652,2,5,Good
R_200,10814,2,4,Excellent
R_201,11822,4,3,Good
R_202,11374,1,4,Good
R_203,11020,3,5,Average
R_204,10978,5,4,Excellent
R_205,11752,4,1,No Feedback
R_206,11568,4,3,Excellent
R_207,11481,5,5,Average
R_208,11839,2,2,Late delivery
R_209,10088,3,5,Average
R_210,11087,2,3,Good
R_211,10922,5,5,No Feedback
R_212,11411,5,2,Good
R_213,11815,3,1,Average
R_214,11483,5,3,Excellent
R_215,10586,5,3,Excellent
R_216,10818,3,5,Good
R_217,10932,4,4,Good
R_218,11660,2,4,Average
R_219,11293,4,2,Average
R_220,11918,4,1,Average
R_221,10797,2,1,Average
R_222,11958,4,5,No Feedback
R_223,11019,3,5,Good
R_224,11013,2,4,Average
R_225,10973,1,1,Average
R_226,10633,4,1,Good
R_227,10346,5,1,Good
R_228,10724,2,2,No Feedback
R_229,10901,1,2,Excellent
R_230,11684,5,5,Good
R_231,11102,1,4,Excellent
R_232,11389,4,3,Good
R_233,11038,5,4,Late delivery
R_234,10136,4,2,Good
R_235,11328,5,2,Excellent
R_236,10397,2,5,Good
R_237,10792,3,3,Late delivery
R_238,10079,3,1,Excellent
R_239,11779,1,3,Good
R_240,10705,5,3,Average
R_241,10982,4,3,Good
R_242,11442,2,5,Late delivery
R_243,11266,2,2,Average
R_244,11075,2,1,Late delivery
R_245,10744,3,3,No Feedback
R_246,11795,4,1,Average
R_247,10384,2,3,Good
R_248,10375,2,2,Late delivery
R_249,11754,1,1,Excellent
R_250,10206,5,4,No Feedback
R_251,11850,5,2,Good
R_252,10489,5,1,Average
R_253,11405,1,3,Excellent
R_254,11992,3,3,Excellent
R_255,10881,1,2,Late delivery
R_256,11335,2,2,Good
R_257,11399,4,3,Good
R_258,10632,2,1,Good
R_259,10592,2,4,No Feedback
R_260,11066,4,5,Good
R_261,10533,5,2,Late delivery
R_262,10522,1,3,Late delivery
R_263,10825,3,1,Average
R_264,11177,2,2,Average
R_265,11336,2,1,Late delivery
R_266,11318,3,2,Average
R_267,10598,1,3,Good
R_268,10113,2,1,Average
R_269,11725,3,3,Excellent
R_270,11136,2,1,No Feedback
R_271,11199,5,2,Late delivery
R_272,11846,5,5,Excellent
R_273,11326,2,5,Average
R_274,11988,2,4,Late delivery
R_275,11540,5,4,No Feedback
R_276,10734,2,3,Average
R_277,11986,1,1,Good
R_278,11245,1,4,No Feedback
R_279,11195,4,2,Excellent
R_280,10318,1,5,Average
R_281,10996,2,1,No Feedback
R_282,10213,2,5,Average
R_283,10253,3,1,Average
R_284,10124,1,4,Late delivery
R_285,11664,5,4,Good
R_286,11237,5,3,Late delivery
R_287,10624,4,1,Good
R_288,11109,3,2,Good
R_289,11540,5,4,Average
R_290,11089,4,3,Late delivery
R_291,11342,1,4,Good
R_292,11370,3,5,No Feedback
R_293,11656,3,4,Late delivery
R_294,11267,2,1,Good
R_295,10898,1,3,Average
R_296,11161,3,1,Excellent
R_297,10247,4,2,Average
R_298,10441,5,2,Good
R_299,10045,1,4,Good
R_300,10658,1,3,Average
R_301,10880,3,3,Average
R_302,11712,3,3,Late delivery
R_303,11017,3,3,No Feedback
R_304,10554,4,4,Good
R_305,10809,2,1,Excellent
R_306,10971,3,4,No Feedback
R_307,11113,2,1,No Feedback
R_308,10730,2,5,No Feedback
R_309,11021,1,5,Excellent
R_310,10954,5,1,Late delivery
R_311,11252,5,4,Average
R_312,11834,4,2,Average
R_313,11315,4,4,Excellent
R_314,11446,5,2,Average
R_315,11091,5,4,Good
R_316,11275,1,3,Good
R_317,11065,1,3,Excellent
R_318,10099,5,5,Excellent
R_319,11330,3,5,Average
R_320,10872,3,1,Good
R_321,11878,1,2,Late delivery
R_322,11480,2,3,Good
R_323,11615,5,4,Late delivery
R_324,10301,4,1,Average
R_325,11223,3,4,No Feedback
R_326,11683,2,3,Average
R_327,10488,3,3,Late delivery
R_328,11130,2,3,Excellent
R_329,11425,5,3,Average
R_330,11729,5,4,Good
R_331,11005,5,1,Average
R_332,10477,1,3,No Feedback
R_333,11146,2,5,Average
R_334,11101,4,1,Late delivery
R_335,11336,4,5,No Feedback
R_336,11136,5,4,Excellent
R_337,10861,4,3,Late delivery
R_338,10809,3,1,Excellent
R_339,11706,2,3,No Feedback
R_340,10518,2,3,No Feedback
R_341,11221,2,1,No Feedback
R_342,11122,3,3,Late delivery
R_343,10459,1,3,Average
R_344,11865,3,2,Good
R_345,10230,2,2,Average
R_346,11192,2,1,No Feedback
R_347,11833,2,1,Excellent
R_348,11801,4,3,Average
R_349,10008,1,5,Average
R_350,11196,3,1,Average
R_351,11978,2,3,Average
R_352,11384,5,5,Excellent
R_353,10195,1,2,Average
R_354,11293,5,1,Good
R_355,11043,1,3,Average
R_356,10354,2,2,Good
R_357,11888,1,4,No Feedback
R_358,11073,1,2,Average
R_359,10464,2,3,No Feedback
R_360,10356,5,5,Good
R_361,10850,5,4,Good
R_362,10974,4,4,Late delivery
R_363,11182,5,4,Excellent
R_364,10066,5,1,Late delivery
R_365,11997,1,3,Good
R_366,10859,4,4,Good
R_367,10571,2,2,Late delivery
R_368,11845,2,5,Good
R_369,10308,3,3,Average
R_370,11361,4,2,Late delivery
R_371,11695,1,1,Good
R_372,10783,3,4,Good
R_373,10121,3,2,Good
R_374,10766,2,3,No Feedback
R_375,11428,5,2,Average
R_376,10773,1,1,No Feedback
R_377,11671,4,5,Good
R_378,11810,3,4,Excellent
R_379,11592,1,3,Good
R_380,11867,2,4,Average
R_381,10096,3,4,Excellent
R_382,11138,3,4,Excellent
R_383,10987,2,2,Excellent
R_384,11893,2,2,Excellent
R_385,11453,2,5,Good
R_386,10540,1,1,Average
R_387,11842,1,3,Average
R_388,10002,1,2,Excellent
R_389,11236,5,4,Good
R_390,10580,3,1,No Feedback
R_391,11664,1,3,Average
R_392,10333,5,3,Late delivery
R_393,11048,3,3,Good
R_394,11789,1,3,Average
R_395,11392,2,5,Excellent
R_396,10742,4,3,Average
R_397,10506,1,1,No Feedback
R_398,11000,4,2,Excellent
R_399,11200,1,1,Late delivery
R_400,11453,2,4,Excellent
R_401,11911,4,5,Late delivery
R_402,10733,5,5,Late delivery
R_403,11466,2,4,Good
R_404,11572,4,1,Average
R_405,10514,4,1,Late delivery
R_406,10895,2,4,Excellent
R_407,10361,2,3,Average
R_408,10274,2,3,Good
R_409,10177,3,2,Late delivery
R_410,11288,5,1,Good
R_411,11210,1,1,Excellent
R_412,10527,4,4,Excellent
R_413,10913,1,4,Average
R_414,10279,2,3,Excellent
R_415,10706,5,1,Average
R_416,11222,5,1,Late delivery
R_417,11373,3,5,Good
R_418,11947,2,2,Average
R_419,11445,4,2,Excellent
R_420,11329,3,3,Good
R_421,10064,2,1,Average
R_422,10290,3,5,Average
R_423,10018,1,1,Good
R_424,10064,2,4,Good
R_425,11898,4,3,Good
R_426,10330,4,2,No Feedback
R_427,11894,2,1,Excellent
R_428,10763,3,3,Average
R_429,11964,5,2,Excellent
R_430,11041,2,1,Good
R_431,10443,4,5,Average
R_432,10141,1,3,Good
R_433,11332,4,1,Good
R_434,10444,5,2,Excellent
R_435,10496,4,2,Good
R_436,10426,5,5,Excellent
R_437,11499,2,3,Average
R_438,11856,4,3,Good
R_439,11269,3,1,Excellent
R_440,10450,3,2,Late delivery
R_441,11826,4,2,Average
R_442,10351,4,5,Good
R_443,10599,1,5,Good
R_444,10711,4,3,No Feedback
R_445,10870,1,2,Average
R_446,11984,1,1,Good
R_447,11185,1,4,Excellent
R_448,11164,1,1,Good
R_449,11517,2,5,Good
R_450,11612,3,1,Good
R_451,11555,1,2,Late delivery
R_452,10393,3,3,Good
R_453,10842,1,4,Average
R_454,10401,3,3,Excellent
R_455,10050,4,4,Good
R_456,10744,4,4,Average
R_457,11319,3,2,Average
R_458,11449,1,2,Late delivery
R_459,10906,2,5,No Feedback
R_460,11036,3,5,Average
R_461,11359,5,4,Good
R_462,10991,2,5,Average
R_463,11039,5,2,Good
R_464,10028,3,5,Late delivery
R_465,10388,1,4,Good
R_466,11316,5,3,Good
R_467,11911,3,1,Average
R_468,10833,2,5,Good
R_469,10250,1,2,Late delivery
R_470,11529,5,3,Good
R_471,10098,3,2,No Feedback
R_472,11839,1,5,Good
R_473,11361,1,4,No Feedback
R_474,11063,4,1,Average
R_475,11062,1,1,Excellent
R_476,11324,3,3,Good
R_477,10179,2,1,Late delivery
R_478,11633,4,4,Average
R_479,10892,3,2,Average
R_480,11493,3,4,Late delivery
R_481,11306,3,3,Late delivery
R_482,10750,5,3,Late delivery
R_483,11188,5,1,Good
R_484,10453,2,4,Good
R_485,10097,3,2,Late delivery
R_486,11793,5,4,Good
R_487,10309,5,2,Good
R_488,10262,5,2,Good
R_489,10293,2,4,Good
R_490,11794,2,5,Average
R_491,10249,3,4,Late delivery
R_492,10245,4,2,No Feedback
R_493,10251,3,3,Average
R_494,10123,5,3,No Feedback
R_495,10325,5,1,Late delivery
R_496,10986,1,3,No Feedback
R_497,11705,3,5,Excellent
R_498,11971,5,2,Late delivery
R_499,10501,5,4,Average
R_500,10687,4,4,Good
R_501,11805,1,5,Good
R_502,11740,3,3,No Feedback
R_503,11861,2,2,No Feedback
R_504,11090,3,3,Excellent
R_505,11851,3,1,Excellent
R_506,10836,4,3,No Feedback
R_507,10059,3,1,Average
R_508,10731,4,4,Late delivery
R_509,11522,4,2,Average
R_510,11397,5,1,Average
R_511,10266,2,3,Good
R_512,11677,4,3,Average
R_513,10236,1,4,Late delivery
R_514,10898,1,5,Average
R_515,10218,2,5,Excellent
R_516,11551,4,3,Average
R_517,11838,2,5,Good
R_518,11465,5,2,Excellent
R_519,11674,1,5,Late delivery
R_520,11430,3,2,Good
R_521,11768,1,3,Average
R_522,11625,4,3,Average
R_523,10975,2,3,No Feedback
R_524,10589,1,4,Late delivery
R_525,11672,3,5,Good
R_526,10917,3,1,Average
R_527,11493,2,1,Excellent
R_528,10918,2,3,Late delivery
R_529,11134,1,5,Excellent
R_530,10353,4,2,Good
R_531,11837,5,1,Excellent
R_532,10091,3,3,Excellent
R_533,11960,2,1,Excellent
R_534,11906,5,1,Average
R_535,11942,5,1,Excellent
R_536,11438,5,3,Late delivery
R_537,10702,4,3,Excellent
R_538,10073,2,4,Average
R_539,10685,3,4,Good
R_540,11571,2,4,Average
R_541,10722,1,1,Average
R_542,11322,3,5,Average
R_543,11669,2,3,Average
R_544,11307,3,4,Average
R_545,11529,1,5,Excellent
R_546,11222,3,4,Good
R_547,10958,5,4,Average
R_548,11056,4,5,Excellent
R_549,10648,1,4,Late delivery
R_550,10760,3,1,Late delivery
R_551,10871,1,1,Average
R_552,11365,5,1,Average
R_553,11682,4,2,Good
R_554,11358,1,4,Average
R_555,10143,5,2,No Feedback
R_556,11770,5,3,Late delivery
R_557,11434,5,5,Good
R_558,10949,3,3,Excellent
R_559,10044,2,2,Average
R_560,10032,1,1,Good
R_561,11767,2,4,Excellent
R_562,10028,5,4,Good
R_563,11020,2,1,No Feedback
R_564,10423,5,4,Average
R_565,10491,5,5,Excellent
R_566,10160,4,5,Average
R_567,10845,4,5,Good
R_568,11231,2,3,Late delivery
R_569,10018,1,1,No Feedback
R_570,11127,2,5,Excellent
R_571,11606,1,2,Late delivery
R_572,11655,2,5,No Feedback
R_573,11675,3,3,Good
R_574,10672,3,2,Good
R_575,10232,1,1,Good
R_576,11684,4,1,Excellent
R_577,11889,1,5,Excellent
R_578,10424,2,2,Late delivery
R_579,10904,5,2,No Feedback
R_580,10755,3,5,Late delivery
R_581,11571,5,5,Average
R_582,10837,3,4,Good
R_583,10894,2,4,No Feedback
R_584,11891,3,5,Good
R_585,10239,1,3,Average
R_586,11358,5,4,Average
R_587,10149,5,5,Good
R_588,10623,2,2,Late delivery
R_589,11432,5,4,Good
R_590,10017,2,3,No Feedback
R_591,10914,4,1,Average
R_592,10226,1,2,Late delivery
R_593,10652,3,3,Excellent
R_594,11680,3,3,Late delivery
R_595,10260,3,3,No Feedback
R_596,11753,4,2,Good
R_597,10674,1,3,Good
R_598,11628,5,1,Good
R_599,10174,5,4,Excellent
R_600,11867,1,2,No Feedback
